Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
 Western Digital My Cloud 2TB Personal Storage,WDBCTL0020HWT-NESN,"2TB Storage Capacity  Dual Core Processor  1x Gigabit Ethernet 10/100/1000 LAN  1x USB 3.0 Expansion Port  PC / Mac Compatible  DLNA 1.5 and UPnP Certified  Free Desktop and Mobile Apps  Auto Network Discovery  Ethernet Cable, AC Adapter Included  2 Years Warranty ",Other,,Category V - NAS Units,155
 Western Digital My Cloud 4TB Personal Storage,,"4TB Storage Capacity   Dual Core Processor   1x Gigabit Ethernet 10/100/1000 LAN   1x USB 3.0 Expansion Port   PC / Mac Compatible   DLNA 1.5 and UPnP Certified   Free Desktop and Mobile Apps   Auto Network Discovery   Ethernet Cable, AC Adapter Included   2 Years Warranty ",Other,,Category V - NAS Units,215
 Western Digital My Cloud 6TB Personal Storage,,"6TB Storage Capacity   Dual Core Processor   1x Gigabit Ethernet 10/100/1000 LAN   1x USB 3.0 Expansion Port   PC / Mac Compatible   DLNA 1.5 and UPnP Certified   Free Desktop and Mobile Apps   Auto Network Discovery   Ethernet Cable, AC Adapter Included   2 Years Warranty ",Other,,Category V - NAS Units,285
 Western Digital My Cloud 8TB Personal Storage,,"8TB Storage Capacity   Dual Core Processor   1x Gigabit Ethernet 10/100/1000 LAN   1x USB 3.0 Expansion Port   PC / Mac Compatible   DLNA 1.5 and UPnP Certified   Free Desktop and Mobile Apps   Auto Network Discovery   Ethernet Cable, AC Adapter Included   2 Years Warranty ",Other,,Category V - NAS Units,345
 Synology DiskStation DS215+ NAS Server,,"Annapurna Labs Dual-Core Alpine AL-212 1.4GHz  1 GB DDR3 RAM Installed  209.61 MB/s Reading, 139.42 MB/s Writing  Compatible Drive Type: 3.5",Other,,Category V - NAS Units,436
 Buffalo TeraStation 5400DN 8TB NAS Server,WS5400DN0804W2,"Intel Dual-Core D2550 1.86 GHz  8TB Storage Installed, 12TB Max Capacity  4GB DDR3 SDRAM Installed  OS Microsoft Windows Storage Server 2012 R2 Workgroup   4 Installed Devices / 4 Max Devices  Storage Hard Drive: 2TB each  Controller Interface Type: Serial ATA/300   Supported RAID: 0/1/5/JBOD (Individual Disks)  2x RJ45 Gigabit Ethernet 10/100/1000 LAN  2x USB 3.0, 2x USB 2.0  Windows Server 2012 R2 Workgroup Pre-Installed  Features Deduplication, Device-to-Device Data   Replication, Lockable Front Door   Compliant Standards: IEEE 802.3 , IEEE 802.3ab , IEEE 802.3u   3 Years Warranty ",Other,,Category V - NAS Units,1297
 HP LaserJet Pro M203dw Monochrome Printer,G3Q47A,"Print Speed up to 26ppm (Black, A4)  Print Resolution up to 1200 x 1200 dpi  Automatic Duplex Printing  Monthly Duty Cycle up to 30,000 Pages  1x 250-Sheet Input Tray, 1x 10-Sheet Priority Tray,  1x 150-Sheet Output Bin  1x Hi-Speed USB 2.0, Fast Ethernet 10/100 LAN  Wireless 802.11b/g/n Connectivity  Paper (Laser, Plain, Photo, Rough, Vellum), Envelopes,  Labels, Cardstock, Postcards  256MB RAM, 800MHz Processor  4x LED Indicator Lights, 3-Button Control Panel  Introductory Toner Cartridge, USB Cable Included  1 Year Warranty ",HPI,,Category VI - Printers and Toners,185
 HP LaserJet Pro M252dw Color Printer,B4A22A,"Print Speed up to 19ppm (Black / Color, A4)  Print Resolution up to 600 x 600 dpi  Automatic Duplex Printing   Monthly Duty Cycle up to 30,000 Pages   1x 250-Sheet Input Tray, Multipurpose Tray,   1x 100-Sheet Output Bin   1x Hi-Speed USB 2.0, 1x Host USB, Fast Ethernet 10/100 LAN   Wireless 802.11b/g/n Connectivity   Paper (Brochure, Inkjet, Plain), Photo Paper (Borderless,   HP Premium, Panoramic, Plus Tab), Envelopes, Labels,   Cards (Greeting, Index), Transparencies  256MB RAM, 800MHz Processor   3"" Touchscreen Color Graphic Display + 3-Button Control Panel  Introductory Toner Cartridge Set (CYMK), USB Cable Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,219
 HP LaserJet Pro M501dn Monochrome Printer,J8H61A,"Print Speed up to 45ppm (Black, A4)   Print Resolution up to 600 x 600 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 100,000 Pages   1x 550-Sheet Input Tray, 1x 100-Sheet Multipurpose Tray,   1x 250-Sheet Output Bin   1x Hi-Speed USB 2.0, 1xHi-Speed USB 2.0 Device,  Gigabit Ethernet 10/100/100 LAN   Paper (Plain, EcoFFICIENT, Light, Midweight, Intermediate, Heavy,   Extra heavy, Bond, Cardstock, Colored, Letterhead, Preprinted,   Prepunched, Recycled, Rough); Envelopes; Labels; Transparencies  256MB RAM, 1.5GHz Processor   2-Line Backlit Text Display + 6-Button + 12-Key Numberical Control Panel  Introductory Toner Cartridge Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,369
 HP LaserJet Pro M553dn Color Printer,B5L25A,"Print Speed up to 40ppm (Black / Color, A4)   Print Resolution up to 1200 x 1200 dpi   Automatic Duplex Printing   Monthly Duty Cycle up to 80,000 Pages   2x 550-Sheet Input Trays, 1x 100-Sheet Multipurpose Tray,   1x 250-Sheet Output Bin   1x Hi-Speed USB 2.0  Gigabit Ethernet 10/100/100 LAN   Paper (Plain, Light, Bond, Recycled, Midweight, Heavy,   Midweight Glossy, Heavy Glossy, Extra Heavy, Extra Heavy Glossy,  Cardstock, Card Glossy) Color, Transparency, Labels, Letterhead,  Envelope, Preprinted, Prepunched, Colored, Rough, Opaque Film, User-Defined  1GB RAM, 1.2GHz Processor   4-Line Color LCD Display + 3x Indicator Lights + 19-Button Control Panel  Introductory Toner Cartridge Set (CYMK) Included   1 Year Warranty ",HPI,,Category VI - Printers and Toners,469
