Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice
Cyberoam CR25iNG 3 Year Total Value Subscription Plus,01-TVSP-PRC-0025iNG-,"Applies to CR25iNG
3 Year Subscription",Other,Software,Software,648
Cyberoam Total Value Subscription Plus (35),01-TVSP-PRC-0035iNG-,"Applies to CR35iNG 
3 Year Subscription",Other,Software,Software,971
Cyberoam CR50iNG 3 Years Total Value Subscription Plus,01-TVSP-PRC-0050iNG-,"Applies to CR50iNG 
3 Year Subscription",Other,Software,Software,1833
Cyberoam Total Value Subscription Plus (100),TVSP-PRC-0100iNG-01,"Applies to CR100iNG 
3 Year Subscription",Other,Software,Software,2911
Cyberoam Total Value Subscription Plus (200),TVS-PRC-0200iNG-01,"Applies to CR200iNG 
3 Year Subscription",Other,Software,Software,5489
Microsoft Office Pro Plus 2016,MICSOFOFFICEPRO2016,"Stand-alone license
Includes downgrade rights",Other,Software,Software,75
Microsoft Windows Server Standard 2016,MICSOFWINSERVERSTD20,"License
16 cores
Charity
Single Language

",Microsoft,Software,Software,222
Nuance Dragon NaturallySpeaking v.13.0 Home ,K409A-G00-13.0,"Voice Recognition Software
Standard Headset & USB Adapter Included
Increased Productivity
Software Adapts to Learn and Proofreads
Free Dragon Remote Mic App
Use with Microsoft Office and the Web
Use with Gmail, Hotmail, Outlook, Yahoo
Nuance-Approved Microphone Included
Free Tutorials Included
Windows Compatible
",Other,Software,Software,95
Think-Cell License,Think-Cell,It is a powerful charting and layout software that automates your PowerPoint work and such improves slide creation efficiency and quality. Within minutes you get well-laid-out and great-looking slides. ,Other,Software,Software,260
AppleCare Warranty,S6048LL/A ,2-Year Applecare for iMac,Apple,Software,Software,158
Microsoft Windows Server Standard 2016 CAL,MICSOFWINSERVERSTD20,,Microsoft,Software,Software,11
World Tools Pro,Purchase from IN-TOO,"Third Party InDesign plug-in for CS4 

",Other,Software,Software,175.5
Microsoft Visio Pro 2016 Software,MICSOFVISIOPRO2016,"License
1 PC
Win
Single Language
",Other,Software,Software,85
"Dell K/VK/ADV 1x00S,ADD 1 Mngd Comp,APOS",331-8849,Min Qty Reqired: 1500,Other,Software,Software,24.99
Microsoft Project Standard 2016 Software,MICSOFPROJECTSTD2016,,Other,Software,Software,99
Microsoft Sharepoint Server 2013 Workspace,,,Other,Software,Software,1999
Microsoft Publisher,164-07731,,Other,Software,Software,25
DigiCert Certification ,SSL Plus,"1 year service 
SSL Plus",Other,Software,Software,170
Nvivo 11 Pro Full License,QSRSOFNVIVOPROFULLLI,,Other,Software,Software,503
Nvivo 11 Online Course (Fundamentals course),Nvivo 11 Online Cour,,Other,Software,Software,53
LG Monitor,27MP37VQ-B,"LED monitor - 27"" - 1920 x 1080 - IPS - 200 cd/m² - 1000:1 - 5 ms - HDMI, DVI-D, VGA - black texture, black hairline front and base, black high glossy stand",LG,Desktop,Computers,240
Cyberoam CR 35iNG Total Value Subscription (For 1 Year),01-TVS-PRC-0035iNG-0,"Total Value Subscription (For 1 Year)

",Other,Software,Software,422
Cyberoam CR50iNG 1 Year Total Value Subscription,01-TVS-PRC-0050iNG-0,"Total Value Subscription (For 1 Year)
",Other,Software,Software,797
Cyberoam CR100iNG 1 Year Total Value Subscription,01-TVS-PRC-0100iNG-0,"Total Value Subscription (For 1 Year)
",Other,Software,Software,1266
 SolarWinds Network Performance Monitor ( v. 8 ) - license,1245 / 10538796,ORION NPM SL500 SVR LIC W/ 12MO MNT,Other,Software,Software,6152
 SolarWinds NetFlow Traffic Analyzer Module for SolarWinds SL500 - license,3052 / 10539470,ORION NETFLOW TRAF ANLZR NL500 LIC W/12M,Other,Software,Software,3716
Camtasia Studio & Snagit Bundle,CSBNG01-8/12-E      ,,Other,Software,Software,265
Autodesk AutoCAD 2018 Software,AUTSOFAUTOCAD2018,"New Single-user ELD Annual Subscription

**Require Internet Connectivity

Access to 2018 - 2015 versions",Other,Software,Software,1235
Microsoft Office 2016 for Mac ,MICSOFOFFICESTANDARD,It DOES NOT include Skype for Business or Access. MAC only! ,Other,Software,Software,70
SPSS STATISTICS PROFESSIONAL ,E09KVLL-BL,"SPSS STATISTICS PROFESSIONAL AUTHORIZED USER INITIAL FIXED TERM  License + SW Subscription & Support 12 Months
",Other,Software,Software,5135
Apple iMac 27-inch with Retina 5K display,Z0RT,"3.2GHz Quad-core Intel Core i5, Turbo Boost
up to 3.6GHz
16GB 1867MHz DDR3 SDRAM - 2x8GB
1TB Serial ATA Drive @ 7200 rpm
AMD Radeon R9 M380 with 2GB GDDR5
Apple Magic Mouse 2
Apple Magic Keyboard (English) / User''s Guide
(English)",Other,Desktop,Non-Standard,1999
Apple iMac 27-inch: 3.3GHz Retina 5K display quad-core Intel Core i5 ,MK482LL/A,"3.3GHz Quad-core Intel Core i5, Turbo Boost up to 3.9GHz
8GB 1867MHz DDR3 SDRAM - 2x4GB
2TB Fusion Drive
AMD Radeon R9 M395 with 2GB GDDR5
Apple Magic Mouse 2
Apple Magic Keyboard (English) / User''s Guide (English)
",Other,Desktop,Non-Standard,2160
Movavi Video Editor 10 ,,– business license ,Other,Software,Software,80
Apple iMac 27-inch: 3.2GHz Retina 5K display quad-core Intel Core i5,MK472LL/A,"3.2GHz quad-core Intel Core i5 processor
Turbo Boost up to 3.6GHz
8GB (two 4GB) memory, configurable up to 32GB
1TB Fusion Drive 
AMD Radeon R9 M390 with 2GB video memory
Retina 5K 5120-by-2880 P3 display",Other,Desktop,Non-Standard,1958
GoToAssist ,,"Remote Support 
(5) users
annual cost 
",Other,Software,Software,3667
Microsoft SQL Server 2016 Standard License,228-10815,"1 server
Windows
Single Language",Other,Software,Software,225
Microsoft Visual Studio Enterprise with MSDN,MX3-00095,"License & software assurance
1 user
Windows
All Languages
",Other,Software,Software,1272
Camtasia Studio 9 Upgrade ,CAMSG01U-9-E, 1 Electronic Single License ,Other,Software,Software,90
Sketch Software,SKETCHSOF1YR,"Requires Mac OS 10.10 or higher	
*Not compatible with Windows*	
",Other,Software,Software,119
TechSmith Camtasia v.9 User License,CAMSG01-9-E ,"Camtasia empowers you to make amazing videos—even if you’ve never made one before. Easily record on-screen activity, meetings, and presentations. Then, use Camtasia’s drag-and-drop editor to quickly add effects for a professional video you can securely share with anyone.",Other,Software,Software,169
