Model,Category
"Lenovo ThinkPad UltraSlim USB DVD Burner","System Accessories"
"Lenovo ThinkPad X1 Carbon 5th Gen Notebook - Windows 10",Systems
"Lenovo ThinkPad T470s Touch Screen Notebook - Windows 10",Systems
"Lenovo ThinkCentre M600 Tiny Desktop - Windows 10",Systems
"HP EliteBook 820 G4 Notebook - Windows 10",Systems
"HP EliteBook 840 G4 Notebook - Windows 10",Systems
"HP EliteBook 820 G3 Notebook - Windows 7 for UK Only",Systems
"HP EliteBook 840 G3 Notebook - Windows 7 for UK Only",Systems
"FortiGate FG-60 Network Security/Firewall Appliance","Networking and Communications"
"Sophos XG 85w Network Security/Firewall Appliance","Networking and Communications"
"Fortinet FortiSwitch 124D Managed Ethernet Switch","Networking and Communications"
"Cisco Catalyst 2960+24TC Managed Ethernet Switch","Networking and Communications"
"Cisco SMARTnet 3YR NBD8x5 for CAT 2960+24TC","Networking and Communications"
"Cisco Catalyst 2960+24PC Managed PoE Ethernet Switch","Networking and Communications"
"Cisco SMARTnet 3YR NBD8x5 for CAT 2960+24PC","Networking and Communications"
"Cisco Catalyst 2960-X 48-Port PoE Managed Ethernet Switch","Networking and Communications"
"Cisco WAP371 Wireless Access Point","Networking and Communications"
"Cisco 12V 2A Power Adapter","Networking and Communications"
"Cisco Meraki MR42 Wireless Access Point","Networking and Communications"
"Cisco MR Enterprise License, 5 Years","Networking and Communications"
"Ubiquiti UniFi AC Pro Access Point","Networking and Communications"
"Ubiquiti ToughSwitch TS-8-PRO PoE Managed Switch","Networking and Communications"
"Linksys LAPN600 Wireless-N600 Dual Band Access Point with PoE","Networking and Communications"
"Zyxel P-660R ADSL2+ Router","Networking and Communications"
"MikroTik RouterBOARD 2011UAS-21HnD-IN Wireless Router","Networking and Communications"
"DrayTek Vigor 2860ac 802.11ac Wireless LAN Router","Networking and Communications"
"D-Link DGS-1024D Unmanaged Ethernet Switch","Networking and Communications"
"VSAT 1.8 Meter Ku Band Kit","Networking and Communications"
"VSAT 1.2 Meter Ku Band Kit","Networking and Communications"
"VSAT 1.8 Meter C Band Kit - Linear","Networking and Communications"
"VSAT 1.8 Meter C Band Kit - Circular","Networking and Communications"
"HP LaserJet M607dn Monochrome Laser Printer","Printers and Toners"
"HP 37X High Yield Black Original LaserJet Toner Cartridge","Printers and Toners"
"HP Color LaserJet M577dn MFP","Printers and Toners"
"HP 508X High Yield Black Original LaserJet Toner Cartridge","Printers and Toners"
"HP 508X High Yield Cyan Original LaserJet Toner Cartridge","Printers and Toners"
"HP 508X High Yield Yellow Original LaserJet Toner Cartridge","Printers and Toners"
"HP 508X High Yield Magenta Original LaserJet Toner Cartridge","Printers and Toners"
"Apple iPhone 6S 32GB Unlocked Smartphone","Smartphones, Tablets and Accessories"
"Apple iPad 32GB WiFi Only 9.7""","Smartphones, Tablets and Accessories"
"Apple iPad Pro 64GB WiFi Only 10.5""","Smartphones, Tablets and Accessories"
"Apple Smart Cover Case for 9.7"" iPad","Smartphones, Tablets and Accessories"
"Apple Smart Cover Case for 10.5"" iPad Pro","Smartphones, Tablets and Accessories"
"Apple 12W USB Power Adapter","Smartphones, Tablets and Accessories"
"Apple World Travel Adapter Kit","Smartphones, Tablets and Accessories"
"Samsung Galaxy Tab E WiFi Only 9.6"" Tablet","Smartphones, Tablets and Accessories"
"Carry Case for Samsung Galaxy Tab E Tablet","Smartphones, Tablets and Accessories"
"Power Adapter for Samsung Galaxy Tab E Tablet","Smartphones, Tablets and Accessories"
"Samsung Galaxy S8 64GB Unlocked Smartphone","Smartphones, Tablets and Accessories"
"WD My Cloud PR4100 Network Attached Storage","System Accessories"
"Lenovo ThinkPad Thunderbolt 3 Dock for ThinkPad X1 Carbon 5th Gen or T470s","System Accessories"
"Lenovo ThinkPad OneLink+ Dock for ThinkPad X1 Carbon 4th Gen Only","System Accessories"
"Lenovo ThinkPad USB 3.0 Pro Dock for Any ThinkPad Notebook","System Accessories"
"Lenovo ThinkPad Basic USB 3.0 Dock for Any ThinkPad Notebook","System Accessories"
"Lenovo 65W AC Charger for ThinkPad X1 Carbon 5th Gen","System Accessories"
"Lenovo 135W AC Charger for ThinkPad T460s/T470s","System Accessories"
"HP UltraSlim Docking Station for EliteBook 820 and 840, G3 and G4","System Accessories"
"HP 65W Slim AC Adapter","System Accessories"
"HP DisplayPort to HDMI Adapter","System Accessories"
"HP Essential Laptop Backpack","System Accessories"
"Viewsonic VX2452mh Monitor","System Accessories"
"BenQ GL2460Hm LED LCD Monitor","System Accessories"
"BenQ BL2420PT LED LCD Monitor","System Accessories"
"Iiyama ProLite E2483HS Monitor","System Accessories"
"Microsoft Wired Keyboard 600 and Mouse","System Accessories"
"Microsoft Wireless Desktop 2000 Keyboard and Mouse","System Accessories"
"Microsoft Wireless Keyboard 850","System Accessories"
"Microsoft Wired 600 Keyboard","System Accessories"
"Microsoft Wired Mouse 500","System Accessories"
"Microsoft Wireless Mouse 900","System Accessories"
"Microsoft Wireless Mobile Mouse 1850","System Accessories"
"Western Digital 2TB External Hard Drive","System Accessories"
"Logitech Laser Presentation Pointer","System Accessories"
"Logitech H600 Wireless Headset","System Accessories"
"Logitech H390 USB Wired Headset with Microphone","System Accessories"
"Jabra SPEAK 410 Microphone","System Accessories"
"DisplayPort to DVI Male-Male 6-Foot Adapter","System Accessories"
"Kingston DataTraveler G4 32GB USB 3.0 Flash Drive","System Accessories"
"Kingston 64GB USB 3.0 DataTraveler","System Accessories"
"Cat 6 5-Foot Patch Cable","System Accessories"
"Cat 6 10-Foot Patch Cable","System Accessories"
"Cat 6 15-Foot Patch Cable","System Accessories"
"VGA Cable 25-Foot with 3.5mm Stereo Audio","System Accessories"
"HDMI Male to VGA Female Adapter","System Accessories"
"HDMI UltraHD 4K M-M 10-Foot Cable","System Accessories"
"Mini DisplayPort Male to VGA Male Adapter","System Accessories"
"Mini DisplayPort Male to HDMI Male 15-Foot Video Adapter","System Accessories"
"Rankie HDMI to DisplayPort 15-Foot Cable","System Accessories"
"DisplayPort Male to HDMI Female Cable Adapter","System Accessories"
"Microsoft Windows 10 Pro 64-Bit Upgrade with 2 Years SA",Software
"Microsoft Windows 10 Pro 64-Bit Full Retail License",Software
"Microsoft Windows 10 Pro 64-Bit Full OEM License",Software
"Microsoft Windows Server Standard 2016",Software
"Microsoft Windows Server Standard 2016 CAL",Software
"Adobe Creative Cloud Suite CC Prorated License",Software
"Adobe Acrobat Pro V17 Standalone Perpetual License",Software
"Tableau Desktop Pro License",Software
"SyncBack SE V8",Software
"Microsoft Windows 10 Pro 64-Bit Upgrade",Software
"Microsoft Office Pro Plus 2016 with 2 Years SA",Software
"Microsoft Windows Server Standard 2016",Software
"Microsoft Windows Server Standard 2016 CAL",Software
"Tableau Desktop Pro License",Software
"SyncBack SE V8",Software
"Microsoft Project Pro 2016 with 2 Years SA",Software
"Microsoft Visio Pro 2016 with 2 Years SA",Software
"Microsoft Windows Server Standard 2016 with 2 Years SA",Software
"Microsoft Windows Server Standard 2016 CAL with 2 Years SA",Software
"Tableau Desktop Pro License",Software
"ArcGIS Desktop Bundle for Nonprofit Organization",Software
"Cisco SMARTnet 3YR NBD8x5 for CAT 2960X-48FPS-L","Networking and Communications"
"Adobe Photoshop CC Prorated License",Software
"Adobe Illustrator CC Prorated License",Software
"Adobe InDesign CC Prorated License",Software
"Adobe Dreamweaver CC Prorated License",Software
"Adobe Audition CC Prorated License",Software
"Apple iPhone 8 64GB Unlocked Smartphone","Smartphones, Tablets and Accessories"
