Model,Category
"Lenovo ThinkPad T470 14",Non-Kits
"Lenovo ThinkPad T470 14",Non-Kits
"Lenovo ThinkPad X270 12.5",Non-Kits
"Lenovo ThinkPad X270 12.5",Non-Kits
"Lenovo Thinkpad L470 14",Non-Kits
"Lenovo Thinkpad L470 14",Non-Kits
"HP Business Desktop ProDesk 400 G2.5",Non-Kits
"HP ProDisplay P223va 21.5",Non-Kits
"HP ProDisplay P223va 21.5",Non-Kits
"Lenovo Preferred Pro USB Keyboard",Non-Kits
"Lenovo USB Optical Mouse",Non-Kits
"Lenovo Thinkpad 65W AC Adapter (Slim Tip)",Non-Kits
"Lenovo Thinkpad 65W AC Adapter (Slim Tip)",Non-Kits
"Lenovo Thinkpad 45W AC Adapter (Slim Tip)",Non-Kits
"Targus 16"" Laptop Carry Case, Black",Non-Kits
"Targus 15.6"" Laptop Backpack, Black",Non-Kits
"Logitech PC960 USB Stereo Headset",Non-Kits
"Lenovo Thinkpad Li-ion Battery 68 (3-cell)",Non-Kits
"Lenovo Thinkpad Li-ion Battery 68 (3-cell)",Non-Kits
"Lenovo Thinkpad Li-ion Battery 68 (3-cell)",Non-Kits
"Lenovo ThinkPad 256GB Opal 2.0 Solid State Drive",Non-Kits
"Lenovo ThinkPad 512GB 2.5"" Solid State Drive",Non-Kits
"Lenovo ThinkPad 1TB 5400rpm 2.5"" SATA Hard Drive",Non-Kits
"256GB 2.5"" Solid State Drive for Standard Desktops",Non-Kits
"512GB 2.5"" Solid State Drive for Standard Desktops",Non-Kits
"1TB 2.5"" Solid State Drive for Standard Desktops",Non-Kits
"4GB RAM Memory Module",Non-Kits
"8GB RAM Memory Module",Non-Kits
"16GB RAM Memory Module",Non-Kits
"Lenovo External USB DVD-Writer",Non-Kits
"Jabra Speak 410 MS Conference Phone",Non-Kits
"1TB USB Mass Storage Device",Non-Kits
"Lenovo Ultraslim Wireless Keyboard & Mouse",Non-Kits
"Lenovo ThinkPad Bluetooth Keyboard & Mouse",Non-Kits
"APC SurgeArrest Essential Surge Protector",Non-Kits
"Kensington International Travel Adaptor",Non-Kits
"Cat6 U/UTP Cat6 Patch Cable, Black, 1m",Non-Kits
"Cat6 U/UTP Cat6 Patch Cable, Black, 2m",Non-Kits
"Cat6 U/UTP Cat6 Patch Cable, Black, 3m",Non-Kits
"Cat6 U/UTP Cat6 Patch Cable, Black, 5m",Non-Kits
"Cat6 U/UTP Cat6 Patch Cable, Black, 10m",Non-Kits
"SCI-IT01: Basic Field laptop kit (Lenovo T Series)",Kits
"SCI-IT02: Advance Field laptop kit (Lenovo T Series)",Kits
"SCI-IT03: Basic Field laptop kit (Lenovo X Series)",Kits
"SCI-IT04: Advance Field laptop kit (Lenovo X Series)",Kits
"SCI-IT05: Basic Field laptop kit (Lenovo L Series)",Kits
"SCI-IT06: Advance Field laptop kit (Lenovo L Series)",Kits
"SCI-IT07: Basic Office laptop kit (Lenovo T Series)",Kits
"SCI-IT08: Advance Office laptop kit (Lenovo T Series)",Kits
"SCI-IT09: Basic Office laptop kit (Lenovo X Series)",Kits
"SCI-IT10: Advance Office laptop kit (Lenovo X Series)",Kits
"SCI-IT11: Basic Office laptop kit (Lenovo L Series)",Kits
"SCI-IT12: Advance Office laptop kit (Lenovo L Series)",Kits
"SCI-IT13: Standard desktop kit ",Kits
"SCI-IT14: Standard desktop kit (21",Kits
