Model,Category
"Microsoft Office Standard 2016","Category I - Software"
"Microsoft Office Pro Plus 2016","Category I - Software"
"Microsoft Office for Mac","Category I - Software"
"Microsoft Windows 10 Pro, 32-Bit / 64-Bit, 1 License","Category I - Software"
"Microsoft Windows 10 Enterprise Upgrade & Software Assurance, 1 License","Category I - Software"
"Microsoft Office 365 E3","Category I - Software"
"Microsoft Exchange Online Advanced Threat Protection","Category I - Software"
"Microsoft Online Professional","Category I - Software"
"Microsoft Project Online Premium","Category I - Software"
"Microsoft Visio Pro for Office 365","Category I - Software"
"Microsoft Visio Pro 2016","Category I - Software"
"Microsoft Project Pro 2016","Category I - Software"
"Microsoft Project Standard 2016","Category I - Software"
"Adobe Acrobat Pro (DC) Subscription Option","Category I - Software"
"Adobe Creative Cloud - License","Category I - Software"
"Kaspersky Antivirus Endpoint Security for Business, 1 Year","Category I - Software"
"Kaspersky Total Security for Business, 1 Year","Category I - Software"
"Symantec Endpoint Protection Standard","Category I - Software"
"Symantec Endpoint Protection Suite","Category I - Software"
"HP EliteBook 820 G3 12.5"" Notebook","Category II - NRC Laptops and Desktops"
"HP EliteBook 840 G3 14"" Notebook","Category II - NRC Laptops and Desktops"
"HP EliteBook 850 G3 15.6"" Notebook","Category II - NRC Laptops and Desktops"
"HP X360 1030 G2 13.3"" 2-in-1 Notebook","Category II - NRC Laptops and Desktops"
"HP Zbook 15 G3 Mobile Workstation","Category II - NRC Laptops and Desktops"
"HP Notebook 3/3/3 Warranty Support Upgrade","Category II - NRC Laptops and Desktops"
"HP ProDesk 600 G2 Small Form Factor Desktop","Category II - NRC Laptops and Desktops"
"HP EliteDesk 800 G2 SFF Desktop","Category II - NRC Laptops and Desktops"
"Lenovo ThinkPad X270 12.5"" Notebook","Category II - NRC Laptops and Desktops"
"Lenovo ThinkPad T470 14"" Notebook","Category II - NRC Laptops and Desktops"
"Lenovo ThinkPad T570 15.6"" Notebook","Category II - NRC Laptops and Desktops"
"Lenovo Yoga 370 13.3"" 2-in-1 Notebook","Category II - NRC Laptops and Desktops"
"Lenovo ThinkPad P50 15.6"" Mobile Workstation","Category II - NRC Laptops and Desktops"
"Lenovo ThinkCentre M800 SFF Desktop","Category II - NRC Laptops and Desktops"
"Lenovo ThinkCentre M900 SFF Desktop","Category II - NRC Laptops and Desktops"
" Logitech BCC950 Video Conferencing Camera","Category III - Video Conferencing Equipment"
" Logitech ConferenceCam Video Conferencing Camera","Category III - Video Conferencing Equipment"
" BLU Neo Energy Mini 4GB Smartphone, Unlocked","Category IV -  Phones"
" BLU Energy X2 8GB Smartphone, Unlocked","Category IV -  Phones"
" Huawei Y6II 16GB Smartphone, Unlocked","Category IV -  Phones"
" Samsung Galaxy J5 16GB Smartphone, Unlocked","Category IV -  Phones"
" Samsung Galaxy Note 4 32GB Smartphone, Unlocked","Category IV -  Phones"
" Samsung Galaxy S6 Edge 64GB Smartphone, Unlocked","Category IV -  Phones"
" Lenovo Tab3 7.0"" 16GB 3G Tablet, Unlocked","Category IV -  Phones"
" Samsung Galaxy Tab S2 8.0"" 32GB 4G Tablet, Unlocked","Category IV -  Phones"
" Apple iPad Air 2 7.9"" 64GB 4G Tablet, Unlocked","Category IV -  Phones"
" HP Elitepad 1000 G2 10.1"" 64GB HSPA+ Tablet, Unlocked","Category IV -  Phones"
" Western Digital My Cloud 2TB Personal Storage","Category V - NAS Units"
" Western Digital My Cloud 4TB Personal Storage","Category V - NAS Units"
" Western Digital My Cloud 6TB Personal Storage","Category V - NAS Units"
" Western Digital My Cloud 8TB Personal Storage","Category V - NAS Units"
" Synology DiskStation DS215+ NAS Server","Category V - NAS Units"
" Buffalo TeraStation 5400DN 8TB NAS Server","Category V - NAS Units"
" HP LaserJet Pro M203dw Monochrome Printer","Category VI - Printers and Toners"
" HP LaserJet Pro M252dw Color Printer","Category VI - Printers and Toners"
" HP LaserJet Pro M501dn Monochrome Printer","Category VI - Printers and Toners"
" HP LaserJet Pro M553dn Color Printer","Category VI - Printers and Toners"
" HP Laserjet Enterprise M605dn Monochrome Printer","Category VI - Printers and Toners"
" HP Laserjet Enterprise M651dn Color Printer","Category VI - Printers and Toners"
" HP Laserjet Enterprise M712dn Monochrome A3 Printer","Category VI - Printers and Toners"
" HP Color Laserjet Enterprise M855dn Color A3 Printer","Category VI - Printers and Toners"
" HP LaserJet Pro M227fdw Monochrome MFP","Category VI - Printers and Toners"
" HP LaserJet Pro M277dw Color MFP","Category VI - Printers and Toners"
" HP LaserJet Pro M521dn Monochrome MFP","Category VI - Printers and Toners"
" HP LaserJet Pro M570dn Color MFP","Category VI - Printers and Toners"
" HP LaserJet M630h A4 Monochrome MFP","Category VI - Printers and Toners"
" HP LaserJet M680dn A4 Color MFP","Category VI - Printers and Toners"
" HP LaserJet M725dn A3 Monochrome MFP","Category VI - Printers and Toners"
" HP LaserJet M775dn A3 Color MFP","Category VI - Printers and Toners"
" Canon SELPHY CP1200 Wireless Compact Photo Printer","Category VI - Printers and Toners"
" HP OfficeJet 200 Mobile Printer","Category VI - Printers and Toners"
" Fargo HDP5000-2013 Reverse-Transfer Dual-Sided Card Printer, 89640","Category VI - Printers and Toners"
" Fargo HDP5000-2013 Reverse-Transfer Dual-Sided Printer + Single-sided Lamination Module, 89660","Category VI - Printers and Toners"
" Fargo HDP8500 Reverse-Transfer Dual-Sided Industrial Card Printer, 88500","Category VI - Printers and Toners"
" Fargo Dual-Sided Simultaneous Lamination Module, 88910","Category VI - Printers and Toners"
" Fargo Card Flattener Module for HDP8500, 88911","Category VI - Printers and Toners"
"HP USB Wired Mouse","Category VII - Other"
"HP USB Wireless Mouse","Category VII - Other"
"Lenovo USB Wired Mouse","Category VII - Other"
"Lenovo USB Wireless Mouse","Category VII - Other"
"HP USB Wired Keyboard","Category VII - Other"
"HP USB Wireless Keyboard","Category VII - Other"
"Lenovo Preferred Pro USB Wired Keyboard","Category VII - Other"
"Lenovo Ultraslim USB Wireless Keyboard & Mouse","Category VII - Other"
"HP Stereo USB Headset","Category VII - Other"
"Lenovo Stereo USB Headset","Category VII - Other"
"Logitech H340 Stereo USB Headset","Category VII - Other"
"Jabra Evolve 20 MS Stereo USB Headset","Category VII - Other"
" Jabra Speak 410 MS Conference Speaker","Category VII - Other"
" Jabra Speak 510 MS Conference Speaker","Category VII - Other"
" Jabra Speak 810 MS Conference Speaker","Category VII - Other"
" WD Elements 500GB USB External Hard Drive","Category VII - Other"
" WD Elements 1TB USB External Hard Drive","Category VII - Other"
" WD Elements 2TB USB External Hard Drive","Category VII - Other"
" WD Elements 4TB USB External Hard Drive","Category VII - Other"
" Samsung T3 500GB USB 3.1 External SSD","Category VII - Other"
" Samsung T3 1TB USB 3.1 External SSD","Category VII - Other"
" Samsung T3 2TB USB 3.1 External SSD","Category VII - Other"
" Kingston 16GB USB 3.0 Drive","Category VII - Other"
" Kingston 32GB USB 3.0 Drive","Category VII - Other"
" Kingston 64GB USB 3.0 Drive","Category VII - Other"
" Kingston 128GB USB 3.0 Drive","Category VII - Other"
" Eaton 5P 850VA UPS 230V","Category VII - Other"
" APC Smart-UPS 1000VA LCD 230V","Category VII - Other"
" Eaton 5P 1550VA UPS 230V","Category VII - Other"
" APC Smart-UPS 1500VA LCD 230V","Category VII - Other"
" Eaton 5PX 2200VA RT UPS 230V","Category VII - Other"
" APC Smart-UPS 3000VA RM LCD 230V","Category VII - Other"
"APC SurgeArrest Surge Protector, 1 Outlet, 230V","Category VII - Other"
"APC Essential SurgeArrest 5 Outlets 230V","Category VII - Other"
"APC Essential SurgeArrest 8 Outlets 230V","Category VII - Other"
" HP E222 22"" LED LCD Monitor","Category VII - Other"
" Lenovo ThinkVision T2254 22"" LED LCD Monitor","Category VII - Other"
" HP E242 24"" LED LCD Monitor","Category VII - Other"
" Lenovo ThinkVision T2454p 24"" LED LCD Monitor","Category VII - Other"
" HP Z34c 34"" LED Ultra Wide Curved Monitor","Category VII - Other"
" Lenovo ThinkVision Pro2820 28"" LED LCD Monitor","Category VII - Other"
" Samsung S34E790C 34"" LED Ultra Wide Curved Monitor","Category VII - Other"
" Epson WorkForce DS-1660W Scanner","Category VII - Other"
" HP ScanJet Pro 4500 fn1 Flatbed Scanner","Category VII - Other"
" Epson WorkForce DS-530 Scanner","Category VII - Other"
" HP ScanJet Flow 7000 S3 Sheetfed Scanner","Category VII - Other"
" Epson WorkForce DS-7500 Flatbed Scanner","Category VII - Other"
" HP Digital Sender Flow 8500 Fn1 Document Capture Workstation","Category VII - Other"
" Epson Workforce DS-6000 A3 Scanner","Category VII - Other"
" InFocus IN112x DLP Projector","Category VII - Other"
" InFocus IN3134a DLP Projector","Category VII - Other"
"InFocus Carrying Case for Projector","Category VII - Other"
"InFocus Universal Ceiling Mount Kit","Category VII - Other"
" Epson EB-2265U 3LCD Projector","Category VII - Other"
"Epson Soft Carry Case","Category VII - Other"
"Epson Ceiling Kit ELPMB23 Ceiling Mount White","Category VII - Other"
"Elite Screens T71NWS1 Tripod Portable Projection Screen","Category VII - Other"
"Elite Screens T85NWS1 Tripod Portable Projection Screen","Category VII - Other"
"USB Cable A-A, 3m","Category VII - Other"
"HDMI Cable M-M, 2m","Category VII - Other"
"HP Value Topload Case","Category VII - Other"
"HP Business Top Load Case","Category VII - Other"
"HP SMB Backpack Carry Case","Category VII - Other"
"Lenovo Thinkpad Essential Topload Case","Category VII - Other"
"Lenovo ThinkPad Professional Slim Topload Case","Category VII - Other"
"Lenovo ThinkPad Essential Backpack","Category VII - Other"
