Model,Category
"Adobe Creative Cloud for Teams",Software
"Thuraya XT-PRO Satellite Handset","Satellite Phones"
"Thuraya Satellite Handset Car Charger",Accessories
"Thuraya Satellite Handset Home Charger",Accessories
"Thuraya PrePaid SIM Card",Accessories
"Thuraya Postpaid SIM card",Accessories
"Thuraya XT-Pro Dual Terminal Satellite Phone","Satellite Phones"
"Thuraya XT Lite Satellite Phone","Satellite Phones"
"Samsung Tab A 7-Inch Tablet",Tablets
"Case for Samsung Galaxy Tab A 7.0",Accessories
"Screen Protector for Apple iPhone 7",Accessories
