Model,Partno,Specs,Manufacturer,ProductType,Category,CustomerPrice,Tier1,Tier1Treshold,Tier2,Tier2Treshold
SCI-IT01: Basic Field laptop kit (Lenovo T Series),,"Kit ID: SCI-IT01
Intel Dual-Core i5-7300U (Up to 3.5GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) Pointing Device with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x Docking,
1x 4-in-1 Card Reader (SD, MMC, SDHC, SDXC)
WIndows 10 Pro, 64-Bit, English
Security Chip Enabled
65W AC Adapter - EU
ThinkPad 3-Cell Li-Ion (24Whr) Front Battery
ThinkPad 3-Cell Li-Ion (24Whr) Rear Battery
3 Year Global Warranty ",Lenovo,Computer / Language,Kits,1174,1148,11,1125,26
SCI-IT02: Advance Field laptop kit (Lenovo T Series),,"Kit ID: SCI-IT02
Intel Dual-Core i7-7600U (Up to 3.90GHz Turbo, 4MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) Pointing Device with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x Docking,
1x 4-in-1 Card Reader (SD, MMC, SDHC, SDXC)
WIndows 10 Pro, 64-Bit, English
Security Chip Enabled
65W AC Adapter 
ThinkPad 3-Cell Li-Ion (24Whr) Front Battery
ThinkPad 3-Cell Li-Ion (24Whr) Rear Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1432,1400,11,1372,26
SCI-IT03: Basic Field laptop kit (Lenovo X Series),,"Kit ID: SCI-IT03
Intel Dual-Core i5-7300U (Up to 3.50GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive Opal 2.0 - Capable
No Internal Optical Drive
12.5"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWANN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 2.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x 4-in-1 Card Reader
(SD, MMC, SDHC, SDXC), 1x 3.5mm Microphone / Headphone Combo Port
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
45W AC Adapter
ThinkPad 3-Cell Li-Ion (23.2Whr) Front Battery
ThinkPad 3-Cell Li-Ion (23.2Whr) Rear Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1171,1144,11,1122,26
SCI-IT05: Basic Field laptop kit (Lenovo L Series),,"Kit ID: SCI-IT05

Intel Dual-Core i5-7300U (Up to 3.5GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel Dual Band 8265AC (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x VGA, 1x miniDisplayPort, 1x 4-in-1 Card Reader,
1x Microphone / Headphone Combo
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
45W AC Adapter
6-Cell Li-Ion (47Whr) Cylindrical Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1298,1269,11,1244,26
SCI-IT06: Advance Field laptop kit (Lenovo L Series),,"Kit ID: SCI-IT06
Intel Dual-Core i7-7600U (Up to 3.9GHz Turbo, 4MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Display with WWAN
AMD Radeon R5 M330 2GB Graphics Card
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel Dual Band 8260AC (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x VGA, 1x miniDisplayPort, 1x 4-in-1 Card Reader,
1x Microphone / Headphone Combo
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
65W AC Adapter
6-Cell Li-Ion (47Whr) Cylindrical Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1321,1291,11,1266,26
SCI-IT07: Basic Office laptop kit (Lenovo T Series),,"Kit ID: SCI-IT07
Intel Dual-Core i5-7300U (Up to 3.5GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) Pointing Device with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x Docking,
1x 4-in-1 Card Reader (SD, MMC, SDHC, SDXC)
WIndows 10 Pro, 64-Bit, English
Security Chip Enabled
65W AC Adapter - EU
ThinkPad 3-Cell Li-Ion (24Whr) Front Battery
ThinkPad 3-Cell Li-Ion (24Whr) Rear Battery
3 Year Global Warranty ",Lenovo,Computer / Language,Kits,1207,1180,11,1157,26
SCI-IT08: Advance Office laptop kit (Lenovo T Series),,"Kit ID: SCI-IT08

Intel Dual-Core i7-7600U (Up to 3.90GHz Turbo, 4MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) Pointing Device with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x Docking,
1x 4-in-1 Card Reader (SD, MMC, SDHC, SDXC)
WIndows 10 Pro, 64-Bit, English
Security Chip Enabled
65W AC Adapter
ThinkPad 3-Cell Li-Ion (24Whr) Front Battery
ThinkPad 3-Cell Li-Ion (24Whr) Rear Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1447,1415,11,1387,26
SCI-IT09: Basic Office laptop kit (Lenovo X Series),,"Kit ID: SCI-IT09

Intel Dual-Core i5-7300U (Up to 3.50GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive Opal 2.0 - Capable
No Internal Optical Drive
12.5"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWANN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 2.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x 4-in-1 Card Reader
(SD, MMC, SDHC, SDXC), 1x 3.5mm Microphone / Headphone Combo Port
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
45W AC Adapter
ThinkPad 3-Cell Li-Ion (23.2Whr) Front Battery
ThinkPad 3-Cell Li-Ion (23.2Whr) Rear Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1186,1159,11,1137,26
SCI-IT10: Advance Office laptop kit (Lenovo X Series),,"Kit ID: SCI-IT10
Intel Dual-Core i7-7600U (Up to 3.90GHz Turbo, 4MB Cache)
4GB DDR4-2133MHz SODIMM
256GB Solid State Drive Opal 2.0 - Capable
No Internal Optical Drive
12.5"" HD (1366 x 768) Anti-Glare LED Backlit Display with WWANN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel 8265 ac/b/g/n Dual Band (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 2.0, 1x RJ45, 1x miniDisplayPort, 1x HDMI, 1x 4-in-1 Card Reader
(SD, MMC, SDHC, SDXC), 1x 3.5mm Microphone / Headphone Combo Port
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
45W AC Adapter
ThinkPad 3-Cell Li-Ion (23.2Whr) Front Battery
ThinkPad 3-Cell Li-Ion (23.2Whr) Rear Battery
Publication - English
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1416,1385,11,1358,26
SCI-IT11: Basic Office laptop kit (Lenovo L Series),,"Kit ID: SCI-IT11
Intel Dual-Core i5-7300U (Up to 3.5GHz Turbo, 3MB Cache)
4GB DDR4-2133 SODIMM
256GB Solid State Drive, SATA3 Opal 2.0 - Capable
No Internal Optical Drive
14"" HD (1366 x 768) Anti-Glare LED Display with WWAN
Integrated Intel HD 620 Graphics
Integrated 720p HD Camera, Microphone, Speakers
Internal Keyboard, English
UltraNav (TrackPoint and TouchPad) with Fingerprint Reader
Gigabit Ethernet, Intel Dual Band 8265AC (2x2) Wireless + Bluetooth 4.1 vPro
Upgradeable to Integrated Mobile Broadband
3x USB 3.0, 1x RJ45, 1x VGA, 1x miniDisplayPort, 1x 4-in-1 Card Reader,
1x Microphone / Headphone Combo
Windows 10 Pro, 64-Bit, English
Security Chip Enabled
45W AC Adapter
6-Cell Li-Ion (47Whr) Cylindrical Battery
3 Year Global Warranty",Lenovo,Computer / Language,Kits,1336,1284,11,1259,26
